"","FSCSKEY","FSCS_SEQ","STABR","LIBID","LIBNAME","ADDRESS","CITY","ZIP","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","LONGITUD","LATITUDE","PLS_YEAR","POPU_LSA","POPU_LSA_YEAR"
"94","MN9030",999,"MN","T0800","SIBLEY COUNTY LIBRARY","400 COURT AVE","GAYLORD",55334,43,NA,"Rural Remote","Rural",-94.22071996,44.55567747,2020,14899,2020
"95","MO0014",999,"MO","MO0014","KANSAS CITY PUBLIC LIBRARY","913 BALTIMORE AVE","KANSAS CITY",64105,11,NA,"City Large","City",-94.58412676,39.10312515,2020,218765,2020
"96","MO0030",999,"MO","MO0030","CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT","1415 OLIVE ST","ST. LOUIS",63103,11,NA,"City Large","City",-90.20088367,38.63043887,2020,319294,2020
"97","MO0039",NA,"MO","MO0039","BOONSLICK REGIONAL LIBRARY","219 W THIRD ST","SEDALIA",65301,33,NA,"Town Remote","Town",-93.22991689,38.70865959,2020,58748,2020
"98","MO0040",NA,"MO","MO0040","CASS COUNTY PUBLIC LIBRARY","400 E MECHANIC ST","HARRISONVILLE",64701,31,NA,"Town Fringe","Town",-94.34606353,38.65310144,2020,99478,2020
"99","MO0045",NA,"MO","MO0045","TRAILS REGIONAL LIBRARY","432 N HOLDEN ST","WARRENSBURG",64093,32,NA,"Town Distant","Town",-93.7402681,38.76722738,2020,81482,2020
"100","MO0059",NA,"MO","MO0059","NORTHEAST MISSOURI LIBRARY SERVICE","207 W CHESTNUT ST","KAHOKA",63445,43,NA,"Rural Remote","Rural",-91.72094281,40.422422,2020,19104,2020
"101","MO0137",NA,"MO","MO0137","REYNOLDS COUNTY LIBRARY DISTRICT","2306 PINE ST","CENTERVILLE",63633,43,NA,"Rural Remote","Rural",-90.95872037,37.43486996,2020,6696,2020
"102","MO0147",999,"MO","MO0147","JEFFERSON COUNTY LIBRARY DISTRICT","5678 STATE ROAD PP","HIGH RIDGE",63049,21,NA,"Suburban Large","Suburban",-90.53591514,38.45567255,2020,131842,2020
"103","MO0164",NA,"MO","MO0164","OREGON COUNTY LIBRARY DISTRICT","20 COURT SQUARE","ALTON",65606,43,NA,"Rural Remote","Rural",-91.39764232,36.69446394,2020,10881,2020
"104","MO0172",NA,"MO","MO0172","MONITEAU COUNTY LIBRARY","501 S. OAK ST.","TIPTON",65081,NA,32,"Town Distant","Town",-92.7826588,38.6517712,2014,12345,2020
"105","MO0174",NA,"MO","MO0174","HEARTLAND REGIONAL LIBRARY SYSTEM","315 THIRD ST","VIENNA",65582,42,NA,"Rural Distant","Rural",-91.94753476,38.18501068,2020,33924,2020
"106","MO0175",999,"MO","MO0175","MISSOURI RIVER REGIONAL LIBRARY","308 EAST HIGH, SUITE 205","JEFFERSON CITY",65101,13,NA,"City Small","City",-92.16947077,38.57483228,2020,89868,2020
"107","MS0006",999,"MS","C0003","CENTRAL MISSISSIPPI REGIONAL LIBRARY","100 TAMBERLINE STREET","BRANDON",39042,21,NA,"Suburban Large","Suburban",-89.98687165,32.27425236,2020,225979,2020
"108","NC0002",999,"NC","R-APPALACHIAN","APPALACHIAN REGIONAL LIBRARY","148 LIBRARY DR","WEST JEFFERSON",28694,41,NA,"Rural Fringe","Rural",-81.4936672,36.40056693,2020,154918,2020
"109","NC0003",999,"NC","R-AVERY-MITCHELL","AVERY-MITCHELL-YANCEY REGIONAL LIBRARY","289 BURNSVILLE SCHOOL RD","BURNSVILLE",28714,42,NA,"Rural Distant","Rural",-82.26214789,35.91571549,2020,51960,2020
"110","NC0006",NA,"NC","R-CRAVEN-PAMLICO","CRAVEN-PAMLICO-CARTERET REGIONAL LIBRARY","400 JOHNSON ST","NEW BERN",28560,13,NA,"City Small","City",-77.03963489,35.1109579,2020,187261,2020
"111","NC0008",NA,"NC","R-FONTANA","FONTANA REGIONAL LIBRARY","33 FRYEMONT ST","BRYSON CITY",28713,42,NA,"Rural Distant","Rural",-83.4446902,35.42611882,2020,95020,2020
"112","NC0011",NA,"NC","R-NANTAHALA","NANTAHALA REGIONAL LIBRARY","11 BLUMENTHAL ST","MURPHY",28906,43,NA,"Rural Remote","Rural",-84.0319937,35.08649104,2020,49721,2020
"113","NC0013",999,"NC","R-NORTHWESTERN","NORTHWESTERN REGIONAL LIBRARY","111 N FRONT ST","ELKIN",28621,32,NA,"Town Distant","Town",-80.85435973,36.2440672,2020,169770,2020
"114","NC0014",999,"NC","R-PETTIGREW","PETTIGREW REGIONAL LIBRARY","201 E THIRD ST","PLYMOUTH",27962,32,NA,"Town Distant","Town",-76.7477963,35.86557213,2020,43767,2020
"115","NC0015",999,"NC","R-SANDHILL","SANDHILL REGIONAL LIBRARY SYSTEM","412 E FRANKLIN ST","ROCKINGHAM",28379,32,NA,"Town Distant","Town",-79.76984036,34.93870807,2020,237852,2020
"116","NC0018",NA,"NC","C-BRUNSWICK","BRUNSWICK COUNTY LIBRARY","109 W MOORE ST","SOUTHPORT",28461,32,NA,"Town Distant","Town",-78.01998229,33.91804724,2020,143169,2020
"117","NC0063",999,"NC","C-WAKE","WAKE COUNTY PUBLIC LIBRARIES","4020 CARYA DR","RALEIGH",27610,11,NA,"City Large","City",-78.56928545,35.77125029,2020,1085297,2020
"118","NC0106",999,"NC","C-LINCOLN","LINCOLN COUNTY PUBLIC LIBRARY","306 W MAIN ST","LINCOLNTON",28092,31,NA,"Town Fringe","Town",-81.26038431,35.47028841,2020,86909,2020
"119","NC0108",999,"NC","C-ORANGE","ORANGE COUNTY PUBLIC LIBRARY","137 W MARGARET LN","HILLSBOROUGH",27278,21,NA,"Suburban Large","Suburban",-79.10065612,36.0744513,2020,86257,2020
"120","NJ0181",999,"NJ","MONROE","MONROE TWP PUBLIC LIBRARY/MIDDLESEX","4 MUNICIPAL PLAZA","MONROE TOWNSHIP",8831,21,NA,"Suburban Large","Suburban",-74.44306479,40.32657699,2020,39132,2020
"121","NM0005",999,"NM","NM0005-002","BELEN PUBLIC LIBRARY","333 BECKER AVENUE","BELEN",87002,23,NA,"Suburban Small","Suburban",-106.771256,34.6599502,2020,7269,2020
"122","NV0008",999,"NV","NV0008","LAS VEGAS-CLARK COUNTY LIBRARY DISTRICT","7060 W WINDMILL LN","LAS VEGAS",89113,21,NA,"Suburban Large","Suburban",-115.246287,36.04122753,2020,1704216,2020
"123","NV0012",NA,"NV","NV0012","HENDERSON DISTRICT PUBLIC LIBRARIES","280 S. GREEN VALLEY PKWY.","HENDERSON",89012,11,NA,"City Large","City",-115.079923,36.01755402,2020,317660,2020
"124","NV0025",NA,"NV","NV0025","WASHOE COUNTY LIBRARY SYSTEM","301 S. CENTER ST.","RENO",89505,11,NA,"City Large","City",-119.8101179,39.52266464,2020,469801,2020
