"","FSCSKEY","FSCS_SEQ","LIBID","LIBNAME","ADDRESS","CITY","STABR","ZIP","C_ADMIN","C_OUT_TY","LATITUDE","LONGITUD","PLS_YEAR","n","ros_entity_number"
"5655","VA0090",3,"VA0090002","MOBILE LIBRARY","7204 NORTHUMBERLAND HIGHWAY","HEATHSVILLE","VA",22473,NA,"BS",37.91581059,-76.46948149,2020,1,NA
"5656","VA0091",NA,"VA0091","CENTRAL VIRGINIA REGIONAL LIBRARY","1303 W. THIRD STREET","FARMVILLE","VA",23901,"MO",NA,37.30430318,-78.4126307,2020,1,NA
"5657","VA0092",2,"VA0092-002","RICHMOND COUNTY PUBLIC LIBRARY","52 CAMPUS DRIVE","WARSAW","VA",22572,NA,"CE",37.95762782,-76.76177631,2020,1,NA
"5658","VA8002",999,"VA8002","MECKLENBURG COUNTY PUBLIC LIBRARY","1294 JEFFERSON ST.","BOYDTON","VA",23917,"MA",NA,36.6665362,-78.38833868,2020,1,NA
"5659","VI0002",1,"VI0002-001","ENID M. BAA LIBRARY AND ARCHIVES","20 DRONNINGENS GADE","CHARLOTTE AMALIE","VI",802,NA,"BR",18.3412528,-64.9340454,2014,1,NA
"5660","VI0002",3,"VI0002-003","ST. CROIX PROPANE BOOK MOBILE","49-50 KING STREET","CHRISTIANSTED","VI",820,NA,"BS",17.746805,-64.703117,2014,1,NA
"5661","VI0002",8,"BKX","ST. CROIX BOOKMOBILE","604 STRAND","FREDRIKSTED","VI",804,NA,"BS",17.70951785,-64.8829488,2020,1,NA
"5662","VI0002",11,"PETERSEN","ATHALIE MCFARLANE PETERSEN PUBLIC LIBRARY","640 STRAND","FREDERIKSTED","VI",840,NA,"BR",17.70914459,-64.88290585,2020,1,NA
"5663","VI0002",NA,"VI0002","DPNR/DIVISION OF LIBRARIES, ARCHIVES & MUS.","23 DRONNINGENS GADE","CHARLOTTE AMALIE","VI",802,"MO",NA,18.34134,-64.9335,2018,1,NA
"5664","VT0007",2,"BAKERSFIELD","H. F. BRIGHAM FREE PUBLIC","104 MAIN ST.","BAKERSFIELD","VT",5441,NA,"CE",44.78357295,-72.8011212,2020,1,NA
"5665","VT0008",2,"BARNARD","CHARLES B. DANFORTH","6208 VT RTE. 12","BARNARD","VT",5031,NA,"CE",43.728959,-72.61965618,2020,1,NA
"5666","VT0009",2,"BARNET","BARNET PUBLIC","147 CHURCH ST.","BARNET","VT",5821,NA,"CE",44.29637294,-72.05279469,2020,1,NA
"5667","VT0010",2,"BARNET/MCINDOES","MCINDOES ACADEMY LIBRARY","37 ACADEMY LANE","MCINDOE FALLS","VT",5050,NA,"CE",44.2643019,-72.06423775,2020,1,NA
"5668","VT0012",2,"BARTON","BARTON PUBLIC","100 CHURCH ST.","BARTON","VT",5822,NA,"CE",44.74959435,-72.18041545,2020,1,NA
"5669","VT0013",2,"BARTON/ORLEANS","JONES MEMORIAL","1 WATER ST.","ORLEANS","VT",5860,NA,"CE",44.81093433,-72.20215643,2020,1,NA
"5670","VT0016",2,"BENSON","BENSON PUBLIC","2724 STAGE RD.","BENSON","VT",5731,NA,"CE",43.70837887,-73.31030254,2020,1,NA
"5671","VT0017",2,"BETHEL","BETHEL PUBLIC","106 MAIN ST.","BETHEL","VT",5032,NA,"CE",43.82981161,-72.63188563,2020,1,NA
"5672","VT0018",2,"BRADFORD","BRADFORD PUBLIC","21 S. MAIN ST.","BRADFORD","VT",5033,NA,"CE",43.99295807,-72.12857632,2020,1,NA
"5673","VT0019",2,"BRANDON","BRANDON FREE PUBLIC","4 FRANKLIN ST.","BRANDON","VT",5733,NA,"CE",43.79802163,-73.08609176,2020,1,NA
