"FSCSKEY","FSCS_SEQ","PLS_YEAR"
"AL0049",999,2019
"AL0049",999,2020
"AL0050",2,2014
"AL0050",2,2015
"AL0050",2,2016
"AL0050",2,2017
"AL0050",2,2018
"AL0050",2,2019
"AL0050",2,2020
"AL0051",2,2014
"AL0051",2,2015
"AL0051",2,2016
"AL0051",2,2017
"AL0051",2,2018
"AL0051",2,2019
"AL0051",2,2020
"AL0052",2,2014
"AL0052",2,2015
"AL0052",2,2016
"AL0052",2,2017
"AL0052",2,2018
"AL0052",2,2019
"AL0052",2,2020
"AL0053",2,2014
"AL0053",2,2015
"AL0053",2,2016
"AL0053",2,2017
"AL0053",2,2018
"AL0053",2,2019
"AL0053",2,2020
"AL0054",2,2014
"AL0054",2,2015
"AL0054",2,2016
"AL0054",2,2017
"AL0054",2,2018
"AL0054",2,2019
"AL0054",2,2020
"AL0055",2,2014
"AL0055",2,2015
"AL0055",2,2016
"AL0055",2,2017
"AL0055",2,2018
"AL0055",2,2019
"AL0055",2,2020
"AL0056",2,2014
"AL0056",2,2015
"AL0056",2,2016
"AL0056",2,2017
"AL0056",2,2018
"AL0056",2,2019
"AL0056",2,2020
"AL0057",2,2014
"AL0057",2,2015
"AL0057",2,2016
"AL0057",2,2017
"AL0057",2,2018
"AL0057",2,2019
"AL0057",2,2020
"AL0059",2,2014
"AL0059",2,2015
"AL0059",2,2016
"AL0059",2,2017
"AL0059",2,2018
"AL0059",2,2019
"AL0059",2,2020
"AL0060",2,2014
"AL0060",2,2015
"AL0060",2,2016
"AL0060",2,2017
"AL0060",2,2018
"AL0060",2,2019
"AL0060",2,2020
"AL0061",2,2014
"AL0061",2,2015
"AL0061",2,2016
"AL0061",2,2017
"AL0061",2,2018
"AL0061",2,2019
"AL0061",2,2020
"AL0062",2,2014
"AL0062",2,2015
"AL0062",2,2016
"AL0062",2,2017
"AL0062",2,2018
"AL0062",2,2019
"AL0062",2,2020
"AL0063",2,2014
"AL0063",2,2015
"AL0063",2,2016
"AL0063",2,2017
"AL0063",2,2018
"AL0063",2,2019
"AL0063",2,2020
"AL0064",2,2014
"AL0064",2,2015
"AL0064",2,2016
"AL0064",2,2017
"AL0064",2,2018
"AL0064",2,2019
"AL0064",2,2020
"AL0065",2,2014
"AL0065",2,2015
"AL0065",2,2016
"AL0065",2,2017
"AL0065",2,2018
"AL0065",2,2019
"AL0065",2,2020
"AL0066",2,2014
"AL0066",2,2015
"AL0066",2,2016
"AL0066",2,2017
"AL0066",2,2018
"AL0066",2,2019
"AL0066",2,2020
"AL0067",2,2014
"AL0067",2,2015
"AL0067",2,2016
"AL0067",2,2017
"AL0067",2,2018
"AL0067",2,2019
"AL0067",2,2020
"AL0068",2,2014
"AL0068",2,2015
"AL0068",2,2016
"AL0068",2,2017
"AL0068",2,2018
"AL0068",2,2019
"AL0068",2,2020
"AL0069",2,2014
"AL0069",2,2015
"AL0069",2,2016
"AL0069",2,2017
"AL0069",2,2018
"AL0069",2,2019
"AL0069",2,2020
"AL0070",2,2014
"AL0070",2,2015
"AL0070",2,2016
"AL0070",2,2017
"AL0070",2,2018
"AL0070",2,2019
"AL0070",2,2020
"AL0071",2,2014
"AL0071",2,2015
"AL0071",2,2016
"AL0071",2,2017
"AL0071",2,2018
"AL0071",2,2019
"AL0071",2,2020
"AL0072",2,2014
"AL0072",2,2015
"AL0072",2,2016
"AL0072",2,2017
"AL0072",2,2018
"AL0072",2,2019
"AL0072",2,2020
"AL0073",2,2014
"AL0073",2,2015
"AL0073",2,2016
"AL0073",2,2017
"AL0073",2,2018
"AL0073",2,2019
"AL0073",2,2020
"AL0074",2,2014
"AL0074",2,2015
"AL0074",2,2016
"AL0074",2,2017
"AL0074",2,2018
"AL0074",2,2019
"AL0074",2,2020
"AL0076",2,2014
"AL0076",2,2015
"AL0076",2,2016
"AL0076",2,2017
"AL0076",2,2018
"AL0076",2,2019
"AL0076",2,2020
"AL0077",2,2014
"AL0077",2,2015
"AL0077",2,2016
"AL0077",2,2017
"AL0077",2,2018
"AL0077",2,2019
"AL0077",2,2020
"AL0078",2,2014
"AL0078",2,2015
"AL0078",2,2016
"AL0078",2,2017
"AL0078",2,2018
"AL0078",2,2019
"AL0078",2,2020
"AL0079",2,2014
"AL0079",2,2015
"AL0079",2,2016
"AL0079",2,2017
"AL0079",2,2018
"AL0079",2,2019
"AL0079",2,2020
"AL0080",2,2014
"AL0080",2,2015
"AL0080",2,2016
"AL0080",2,2017
"AL0080",2,2018
"AL0080",2,2019
"AL0080",2,2020
"AL0080",4,2014
"AL0080",4,2015
"AL0080",4,2016
"AL0080",4,2017
"AL0080",4,2018
"AL0080",4,2019
"AL0080",4,2020
"AL0081",2,2014
"AL0081",2,2015
"AL0081",2,2016
"AL0081",2,2017
"AL0081",2,2018
"AL0081",2,2019
"AL0081",2,2020
"AL0082",2,2014
