"","ros_entity_number","ros_entity_name","ros_entity_type","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode"
"1036",17020221,"operations center","non-instructional facility (nif)","US SOUTH 62 & STYGLER ROAD","GAHANNA","OH",43230
"1037",16067361,"biblioteca carmen rosa diaz de olano","library","Po Box 428","Yabucoa","PR",767
"1038",16082839,"biblioteca comunitaria escuela cristobal santana melecio sat. de jsdcl","library","Calle 8","Dorado","PR",646
"1039",16082840,"biblioteca comunitaria escuela elisa davila vasquez, sat. de jsdcl","library","Carr. 679, Sect. Fortuna","Vega Alta","PR",692
"1040",16082841,"biblioteca comunitaria escuela rosa m. rodriguez, sat. de jsdcl","library","Calle Jupiter","Vega Baja Playa","PR",693
"1041",17010393,"biblioteca comunitaria escuela alfonso lopez garcia","library","Carr. 694, Barrio Maguayo","Dorado","PR",646
"1042",17010394,"biblioteca comunitaria escuela luis muñoz rivera","library","Barrio Mameyal","Dorado","PR",646
"1043",17021735,"amy van andel library & community center","library","7215 Headley St Se","Ada","MI",49301
"1044",17021184,"legacy park 247 library-in-a-box","library","2018 W. High St","Newark","OH",43055
"1045",17019806,"biblioteca comunitaria la casa del guaniqueno","library","Calle 25 De Julio #75","Guanica,","PR",653
"1046",16050809,"biblioteca publica la haya","library","Carr 3101 Sector La Haya, Bo. Lajas","Lajas","PR",667
"1047",16050810,"biblioteca pura platy, parguera","library","Carr 304 Final, Bo. Parguera","Lajas","PR",667
"1048",16051894,"biblioteca satelite - pugnado","library","Carr. 643 Km 2.4, Bo. Pugnado","Manati","PR",674
"1049",16051895,"biblioteca satelite - cortes","library","Carr. 667 Km 4.5, Sector Cortes Bajura Adentro","Manati","PR",674
"1050",16051896,"biblioteca satelite - boquillas","library","Carr. 685 Calle Estrella De Mar","Manati","PR",674
"1051",16051898,"biblioteca satelite - campo alegre","library","Carr. #2 Km 46.8, Sector Campo Alegre Cotto Norte","Manati","PR",674
"1052",16057985,"biblioteca satelite de monte bello","library","Carr. 642 K.M 6.0 Sector Monte Belllo Bo.","Manati","PR",674
"1053",16063575,"biblioteca electronica maguayo","library","Calle #1 Toro Maguayo","Lajas","PR",667
"1054",16064024,"biblioteca electronica cantito","library","Carr. 616 Barrio Cantito Adentro","Manati","PR",674
"1055",16067923,"route 9 library and innovation center","library","3022 Newcastle Ave","New Castle","DE",19720
"1056",16067925,"delaware division of libraries silver lake center","non-instructional facility (nif)","801 Silver Lake Boulevard","Dover","DE",19904
"1057",16072709,"bibliotgeca centro de sevicios multiples de anones","library","814 Rd. 4.0 Km, Anones Ward,Po Box 53","Naranjito","PR",719
"1058",16073026,"biblioteca sector las jaguas","library","Po Box 53, 164 Rd Km 8.4  Lomas Ward","Naranjito","PR",719
"1059",16073476,"acceso a la tecnologia guayabotas","library","Po Box 97, Road 182 Km 10 H 2","Yabucoa","PR",767
"1060",16073494,"acceso a la tecnologia aguacate","library","Road 906 Km 2 Bo Aguacate","Yabucoa","PR",767
"1061",17008286,"salón de los poetas","library","Paseo Del Atenas","Manatí","PR",674
"1062",17009675,"biblioteca publica lajas","library","Carr. 304 Pura Platti Gonzalez","Lajas","PR",667
"1063",17013805,"biblioteca electrónica doroteo peña mora","library","Carr. 182 Km 0.7 Bo Calabaza Arriiba","Yabucoa","PR",767
"1064",17013806,"biblioteca electrónica rosa sánchez","library","Calle 1 Esq Calle 2 Bo Rosa Sanchez","Yabucoa","PR",767
"1065",17013809,"biblioteca electrónica barrio ingenio","library","Calle 3 Bo Ingenio","Yabucoa","PR",767
"1066",17017736,"instituto de cultura puertorriquena","library","Avenida Constitucion #500","San Juan","PR",902
"1067",17018628,"salt lake county library operations building","non-instructional facility (nif)","9786 S Prosperity Rd","West Jordan","UT",84081
"1068",17018701,"library services center","non-instructional facility (nif)","31-11 Thomson Avenue","New York","NY",11101
"1069",17018944,"centro de desarrollo educativo del municipio de lajas","library","Carr. 117 Km. 1.5","Santa Rosa","PR",667
"1070",17021396,"yomba shoshone tribal library","library","Hc 61 Box 6275","Austin","NV",89310
"1071",17021511,"centro tecnológico palmarejo ii","library","Calle Monaco #117 Esquina Tailandia 118","Lajas","PR",667
"1072",17021512,"centro tecnológico comunitario surcando la historia","library","Calle Unión #34","Lajas","PR",667
"1073",17021564,"preston pc services","non-instructional facility (nif)","8118 304th Ave Se","Preston","WA",98050
"1074",27269,"mcmechen branch library","library","23 8th St","Mc Mechen","WV",26040
"1075",17013794,"tarkington community library","library","3032 Fm 163 Rd","Cleveland","TX",77327
"1076",16081057,"biblioteca mayaguez","library","#110 Calle Pilar Del Rillo","Mayaguez","PR",681
"1077",17006700,"biblioteca revndo eleuterio feliciano crespo main branch","library","Carr. 100 Km. 0.3, Ave. Las Cumbres","San Juan","PR",928
"1078",17006702,"vermont state library","library","109 State St","Montpelier","VT",5609
"1079",17009386,"biblioteca publica aguas buenas","library","39 Calle Rafael Lasa","Aguas Buenas","PR",703
"1080",17019361,"centro tecnológico rafael lasa","library","Calle Pedro Albizus Final #4","Aguas Buenas","PR",703
"1081",18645,"leola library center","library","48 W Main St","Leola","PA",17540
"1082",16028636,"biblioteca electronica de la juncia","library","Carr 156 Int 774","Comerio","PR",782
"1083",16028637,"biblioteca electronica de rio hondo","library","Carr 156 Entrada Al Pueblo","Comerio","PR",782
"1084",16028736,"centro educacional de tecnologia de hatillo","library","Bo. Hatillo Carr. 150. Km 3.5","Villalba","PR",766
"1085",16028743,"centro educacional de tecnologia de tierra santa","library","Comunidad Tierra Santa Paseo Albizu Campo","Villalba","PR",766
"1086",16028744,"centro educacional de tecnologia de apeaderos","library","Bo. Apeaderos Carr. 562 Km 1.9","Villalba","PR",766
"1087",16050195,"centro de tecnologia informatica aceituna","library","Carr. 547, Sector Aceituna, Bo. Vacas","Villalba","PR",766
"1088",16051530,"centro usos multiples manuel reyes baez","library","Carr, 779, Km 7.0","Comerio","PR",782
"1089",16051531,"biblioteca electronica de la prieta","library","Carr 781, Km 2.6","Comerio","PR",782
"1090",16051533,"centro comunal pinas","library","Carr, 775, Km 4.3","Comerio","PR",782
"1091",16051535,"centro usos multiples el verde","library","Carr, 782, Int. Carr 791, Bo. Naranjo","Comerio","PR",782
